label|malle_b|malle_turkelli_b|malle_wang_b|malle_b_status|malle_b_prp|malle_turkelli_b_prp|malle_wang_b_prp|malle_b_status_prp
text|smallint|smallint|smallint|smallint|smallint|smallint|smallint|smallint

15T1|\N|\N|\N|\N|3|3|3|0
15T2|\N|\N|\N|\N|4|5|5|1
15T3|\N|\N|\N|\N|5|5|5|0
15T4|\N|\N|\N|\N|5|5|5|0
15T5|\N|\N|\N|\N|3|3|3|0
15T6|\N|\N|\N|\N|6|9|9|1
15T7|\N|\N|\N|\N|8|8|8|0
15T8|\N|\N|\N|\N|7|9|9|1
15T9|\N|\N|\N|\N|3|3|3|0
15T10|\N|\N|\N|\N|6|6|6|0
15T11|\N|\N|\N|\N|11|14|14|1
15T12|\N|\N|\N|\N|5|5|5|0
15T13|\N|\N|\N|\N|5|5|5|0
15T14|\N|\N|\N|\N|5|5|5|0
15T15|\N|\N|\N|\N|7|7|7|0
15T16|\N|\N|\N|\N|7|7|7|0
15T17|\N|\N|\N|\N|6|7|7|1
15T18|\N|\N|\N|\N|9|9|9|0
15T19|\N|\N|\N|\N|7|9|9|1
15T20|\N|\N|\N|\N|5|5|5|0
15T21|\N|\N|\N|\N|10|11|11|1
15T22|\N|\N|\N|\N|10|11|11|1
15T23|\N|\N|\N|\N|11|11|11|0
15T24|\N|\N|\N|\N|13|13|13|0
15T25|\N|\N|\N|\N|13|13|13|0
15T26|\N|\N|\N|\N|9|9|9|0
15T27|\N|\N|\N|\N|12|13|\N|\N
15T28|\N|\N|\N|\N|10|10|10|0
15T29|\N|\N|\N|\N|20|20|20|0
15T30|\N|\N|\N|\N|15|15|15|0
15T31|\N|\N|\N|\N|13|13|13|0
15T32|\N|\N|\N|\N|18|18|18|0
15T33|\N|\N|\N|\N|11|17|17|1
15T34|\N|\N|\N|\N|14|14|14|0
15T35|\N|\N|\N|\N|14|14|14|0
15T36|\N|\N|\N|\N|27|27|27|0
15T37|\N|\N|\N|\N|14|39|39|1
15T38|\N|\N|\N|\N|17|49|49|1
15T39|\N|\N|\N|\N|9|9|9|0
15T40|\N|\N|\N|\N|22|22|22|0
15T41|\N|\N|\N|\N|12|14|12|2
15T42|\N|\N|\N|\N|12|14|12|2
15T43|\N|\N|\N|\N|21|22|22|1
15T44|\N|\N|\N|\N|29|53|53|1
15T45|\N|\N|\N|\N|28|41|41|1
15T46|\N|\N|\N|\N|37|37|37|0
15T47|\N|\N|\N|\N|7|7|7|0
15T48|\N|\N|\N|\N|13|13|13|0
15T49|\N|\N|\N|\N|25|64|64|1
15T50|\N|\N|\N|\N|16|16|16|0
15T51|\N|\N|\N|\N|15|15|15|0
15T52|\N|\N|\N|\N|19|19|19|0
15T53|\N|\N|\N|\N|15|15|15|0
15T54|\N|\N|\N|\N|27|44|27|2
15T55|\N|\N|\N|\N|44|68|68|1
15T56|\N|\N|\N|\N|30|37|30|2
15T57|\N|\N|\N|\N|10|10|10|0
15T58|\N|\N|\N|\N|18|23|\N|\N
15T59|\N|\N|\N|\N|19|27|\N|\N
15T60|\N|\N|\N|\N|25|25|25|0
15T61|\N|\N|\N|\N|20|20|20|0
15T62|\N|\N|\N|\N|22|22|22|0
15T63|\N|\N|\N|\N|23|23|23|0
15T64|\N|\N|\N|\N|37|53|53|1
15T65|\N|\N|\N|\N|15|15|15|0
15T66|\N|\N|\N|\N|16|16|16|0
15T67|\N|\N|\N|\N|19|19|19|0
15T68|\N|\N|\N|\N|31|39|\N|\N
15T69|\N|\N|\N|\N|38|38|38|0
15T70|\N|\N|\N|\N|35|35|35|0
15T71|\N|\N|\N|\N|27|27|27|0
15T72|\N|\N|\N|\N|11|11|11|0
15T73|\N|\N|\N|\N|24|24|24|0
15T74|\N|\N|\N|\N|29|29|29|0
15T75|\N|\N|\N|\N|31|31|31|0
15T76|\N|\N|\N|\N|40|59|59|1
15T77|\N|\N|\N|\N|45|68|68|1
15T78|\N|\N|\N|\N|59|59|59|0
15T79|\N|\N|\N|\N|36|36|36|0
15T80|\N|\N|\N|\N|37|37|37|0
15T81|\N|\N|\N|\N|\N|\N|\N|\N
15T82|\N|\N|\N|\N|\N|\N|\N|\N
15T83|\N|\N|\N|\N|\N|\N|\N|\N
15T84|\N|\N|\N|\N|\N|\N|\N|\N
15T85|\N|\N|\N|\N|\N|\N|\N|\N
15T86|\N|\N|\N|\N|\N|\N|\N|\N
15T87|\N|\N|\N|\N|\N|\N|\N|\N
15T88|\N|\N|\N|\N|\N|\N|\N|\N
15T89|\N|\N|\N|\N|\N|\N|\N|\N
15T90|\N|\N|\N|\N|\N|\N|\N|\N
15T91|\N|\N|\N|\N|59|59|59|0
15T92|\N|\N|\N|\N|31|31|31|0
15T93|\N|\N|\N|\N|107|107|107|0
15T94|\N|\N|\N|\N|39|39|39|0
15T95|\N|\N|\N|\N|45|49|49|1
15T96|\N|\N|\N|\N|44|44|44|0
15T97|\N|\N|\N|\N|69|69|69|0
15T98|\N|\N|\N|\N|63|63|63|0
15T99|\N|\N|\N|\N|71|71|71|0
15T100|\N|\N|\N|\N|72|72|72|0
15T101|\N|\N|\N|\N|125|125|125|0
15T102|\N|\N|\N|\N|139|139|139|0
15T103|\N|\N|\N|\N|89|89|89|0
15T104|\N|\N|\N|\N|175|175|175|0
